Sample Index,Actual Label,Predicted Label,Predicted Probability,Feature,SHAP Value
0,0,0,0.0201,"Required Documents Submitted_Yes, all",-1.31571
0,0,0,0.0201,Monthly Loan Repayment,-0.878904
0,0,0,0.0201,Monthly Income,-0.792494
0,0,0,0.0201,"Required Documents Submitted_No, some missing",-0.568566
0,0,0,0.0201,Requested Loan Amount,-0.307327
0,0,0,0.0201,Collateral Availability_Yes,0.26038
0,0,0,0.0201,Employment Type_Retired,0.215177
0,0,0,0.0201,Number of Dependents,-0.191764
0,0,0,0.0201,Employment Duration,-0.18572
0,0,0,0.0201,Gender_Male,0.13582
0,0,0,0.0201,Gender_Female,0.123551
0,0,0,0.0201,Guarantor Availability_No,-0.097321
0,0,0,0.0201,Collateral Availability_No,0.094906
0,0,0,0.0201,Loan Type_Business,-0.063453
0,0,0,0.0201,Education Level_Undergraduate degree,-0.062835
0,0,0,0.0201,Employment Type_Private-sector employee,-0.053693
0,0,0,0.0201,Employment Type_Business owner,-0.047632
0,0,0,0.0201,Age Group,-0.043377
0,0,0,0.0201,Employment Type_Contract employee,0.038166
0,0,0,0.0201,Loan Purpose_Business investment,0.03577
0,0,0,0.0201,Education Level_Diploma,-0.027767
0,0,0,0.0201,Education Level_Postgraduate degree,-0.024442
0,0,0,0.0201,Employment Type_Unemployed,0.021246
0,0,0,0.0201,Existing Loan Status_No,-0.016985
0,0,0,0.0201,Marital Status_Single,-0.016863
0,0,0,0.0201,Loan Purpose_Debt consolidation,0.016699
0,0,0,0.0201,Guarantor Availability_Yes,-0.016294
0,0,0,0.0201,Employment Type_Self-employed,-0.016064
0,0,0,0.0201,Employment Type_Government employee,-0.015242
0,0,0,0.0201,Loan Purpose_Medical expenses,-0.015037
0,0,0,0.0201,Education Level_Secondary,-0.014123
0,0,0,0.0201,Loan Type_Personal,-0.012452
0,0,0,0.0201,Loan Type_Agricultural,-0.012118
0,0,0,0.0201,Marital Status_Married,-0.011038
0,0,0,0.0201,Collateral Availability_Not applicable / Not required,0.008588
0,0,0,0.0201,Loan Type_Education,-0.008576
0,0,0,0.0201,Loan Purpose_Other,-0.006999
0,0,0,0.0201,Marital Status_Divorced,0.004869
0,0,0,0.0201,Employment Type_Other,0.004655
0,0,0,0.0201,Loan Type_Housing,-0.004463
0,0,0,0.0201,Gender_Prefer not to say,-0.003547
0,0,0,0.0201,Loan Purpose_Education,-0.003152
0,0,0,0.0201,Existing Loan Status_Yes,-0.002617
0,0,0,0.0201,Education Level_No formal education,0.002008
0,0,0,0.0201,Marital Status_Prefer not to say,-0.001814
0,0,0,0.0201,Loan Purpose_Personal expenses,-0.001438
0,0,0,0.0201,Marital Status_Widowed,-0.001059
0,0,0,0.0201,Loan Purpose_Vehicle purchase,-0.000987
0,0,0,0.0201,Education Level_Primary,0.000966
0,0,0,0.0201,Education Level_Other,-0.000778
0,0,0,0.0201,Loan Purpose_House purchase/construction,0.00054
0,0,0,0.0201,Required Documents Submitted_Not sure,0.000481
0,0,0,0.0201,Loan Type_Other,0.000466
0,0,0,0.0201,Loan Type_Vehicle,0.000363
0,0,0,0.0201,Loan Purpose_Agriculture,0.000329
1,0,0,0.0352,Monthly Income,-1.526965
1,0,0,0.0352,Employment Type_Unemployed,-1.123289
1,0,0,0.0352,Employment Duration,-0.434346
1,0,0,0.0352,Collateral Availability_Yes,-0.312176
1,0,0,0.0352,Requested Loan Amount,0.247037
1,0,0,0.0352,Monthly Loan Repayment,0.233603
1,0,0,0.0352,Collateral Availability_No,-0.186114
1,0,0,0.0352,"Required Documents Submitted_Yes, all",0.151195
1,0,0,0.0352,Gender_Male,-0.089403
1,0,0,0.0352,Gender_Female,-0.088281
1,0,0,0.0352,Guarantor Availability_No,-0.071687
1,0,0,0.0352,Employment Type_Self-employed,-0.04899
1,0,0,0.0352,Employment Type_Retired,-0.028872
1,0,0,0.0352,Number of Dependents,-0.02881
1,0,0,0.0352,Education Level_Undergraduate degree,0.026292
1,0,0,0.0352,Employment Type_Government employee,-0.021325
1,0,0,0.0352,Age Group,-0.020633
1,0,0,0.0352,Employment Type_Contract employee,0.020033
1,0,0,0.0352,Education Level_Secondary,0.019628
1,0,0,0.0352,Marital Status_Married,-0.016531
1,0,0,0.0352,Education Level_Diploma,-0.016268
1,0,0,0.0352,"Required Documents Submitted_No, some missing",0.016248
1,0,0,0.0352,Loan Type_Vehicle,0.013644
1,0,0,0.0352,Loan Type_Personal,0.013341
1,0,0,0.0352,Loan Type_Agricultural,-0.011787
1,0,0,0.0352,Loan Purpose_Business investment,-0.010413
1,0,0,0.0352,Marital Status_Single,-0.009917
1,0,0,0.0352,Employment Type_Other,0.00963
1,0,0,0.0352,Employment Type_Private-sector employee,-0.009491
1,0,0,0.0352,Existing Loan Status_No,0.007359
1,0,0,0.0352,Loan Type_Housing,-0.005852
1,0,0,0.0352,Loan Type_Business,0.005846
1,0,0,0.0352,Collateral Availability_Not applicable / Not required,0.005319
1,0,0,0.0352,Employment Type_Business owner,-0.005022
1,0,0,0.0352,Loan Purpose_Debt consolidation,0.00497
1,0,0,0.0352,Loan Purpose_Vehicle purchase,0.004305
1,0,0,0.0352,Education Level_Postgraduate degree,-0.004036
1,0,0,0.0352,Guarantor Availability_Yes,-0.004001
1,0,0,0.0352,Marital Status_Divorced,0.003839
1,0,0,0.0352,Loan Purpose_House purchase/construction,-0.00325
1,0,0,0.0352,Marital Status_Widowed,-0.003036
1,0,0,0.0352,Education Level_No formal education,0.002703
1,0,0,0.0352,Loan Purpose_Education,-0.002585
1,0,0,0.0352,Existing Loan Status_Yes,-0.002471
1,0,0,0.0352,Loan Purpose_Personal expenses,-0.001939
1,0,0,0.0352,Loan Purpose_Other,0.001909
1,0,0,0.0352,Education Level_Other,-0.0019
1,0,0,0.0352,Loan Purpose_Medical expenses,0.001746
1,0,0,0.0352,Required Documents Submitted_Not sure,0.001623
1,0,0,0.0352,Loan Purpose_Agriculture,-0.001208
1,0,0,0.0352,Education Level_Primary,0.001073
1,0,0,0.0352,Loan Type_Education,0.001019
1,0,0,0.0352,Gender_Prefer not to say,-0.000968
1,0,0,0.0352,Marital Status_Prefer not to say,-0.000908
1,0,0,0.0352,Loan Type_Other,0.000195
